task_id,phase,status,exit_code,failure_count,warning_count,strict_warning_count,report_path,log_path,diagnostic_run_path,timestamp_or_run_id
rig-architecture-projections-mvp,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-architecture-projections-mvp/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-architecture-projections-mvp/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-architecture-projections-mvp,c7a0cd06
rig-duckdb-operational-index-bootstrap,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-duckdb-operational-index-bootstrap/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-duckdb-operational-index-bootstrap/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-duckdb-operational-index-bootstrap,c7a0cd06
rig-git-management-bootstrap,review,pass,,,,,.build/anigma-diagnostics/tasks/rig-git-management-bootstrap/c7a0cd06/review/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-git-management-bootstrap/c7a0cd06/review/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-git-management-bootstrap,c7a0cd06
rig-git-management-bootstrap,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-git-management-bootstrap/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-git-management-bootstrap/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-git-management-bootstrap,c7a0cd06
rig-monitor-tui-bootstrap,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-monitor-tui-bootstrap/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-monitor-tui-bootstrap/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-monitor-tui-bootstrap,c7a0cd06
rig-naming-progress-streaming,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-naming-progress-streaming/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-naming-progress-streaming/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-naming-progress-streaming,c7a0cd06
rig-notifications-bootstrap,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-notifications-bootstrap/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-notifications-bootstrap/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-notifications-bootstrap,c7a0cd06
rig-session-review-bundle-bootstrap,validate,pass,,,,,.build/anigma-diagnostics/tasks/rig-session-review-bundle-bootstrap/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/rig-session-review-bundle-bootstrap/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/rig-session-review-bundle-bootstrap,c7a0cd06
validator-registry-integration,review,pass,,,,,.build/anigma-diagnostics/tasks/validator-registry-integration/c7a0cd06/review/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/validator-registry-integration/c7a0cd06/review/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/validator-registry-integration,c7a0cd06
validator-registry-integration,validate,pass,,,,,.build/anigma-diagnostics/tasks/validator-registry-integration/c7a0cd06/validate/logs/validator-registry-check.json,.build/anigma-diagnostics/tasks/validator-registry-integration/c7a0cd06/validate/logs/validator-registry-check.log,.build/anigma-diagnostics/tasks/validator-registry-integration,c7a0cd06
